college_name,location,best_suit_for,fees,placement,type
Post Graduate Institute of Medical Education & Research - [PGIMER],"Chandigarh, Chandigarh",Bachelor of Physiotherapy(BPT),3030,,Government
Indian School of Business - [ISB],"Mohali, Punjab",MBA/PGDM,4542480,"66,00,000",Private
Government Medical College and Hospital - [GMCH],"Chandigarh, Chandigarh",MBBS,"25,000",,Government
Christian Medical College - [CMC],"Ludhiana, Punjab",MBBS,"₹ 33,00,000",,Private
IIT Ropar - Indian Institute of Technology - [IITR],"Ropar, Punjab",BE/B.Tech,"₹ 2,49,460",,Government
All India Institute of Medical Sciences - [AIIMS],"Bathinda, Punjab",MBBS,"₹ 1,628",,Government
Punjab Engineering College University of Technology - [PEC],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 2,07,000","₹ 52,00,000",Government
Panjab University - [PU],"Chandigarh, Chandigarh",BA,"₹ 20,885",,Government
Dr BR Ambedkar National Institute of Technology - [NIT],"Jalandhar, Punjab",BE/B.Tech,"₹ 1,64,000","₹ 52,00,000",Government
IIM Amritsar - Indian Institute of Management,"Amritsar, Punjab",MBA/PGDM,"₹ 9,65,000","₹ 28,00,000",Government
Thapar Institute of Engineering and Technology - [Thapar University],"Patiala, Punjab",BE/B.Tech,"₹ 5,08,000","₹ 1,23,00,000",Private
Government Medical College / Rajindra Hospital-[GMCP],"Patiala, Punjab",MBBS,"₹ 1,74,000",,Government
Institute of Hotel Management - [IHM],"Gurdaspur, Punjab",BHM,"₹ 1,09,600","₹ 3,65,000",Government
Kanya Mahavidyalaya - [KMV],"Jalandhar, Punjab",B.Sc,"₹ 20,510",,Private
"LM Thapar School of Management, Derabassi","Chandigarh, Chandigarh",MBA/PGDM,"₹ 6,70,000","₹ 24,81,000",Private
Lovely Professional University - [LPU],"Jalandhar, Punjab",BE/B.Tech,"₹ 3,49,000","₹ 3,00,00,000",Private
Government Medical College - [GMC],"Amritsar, Punjab",MBBS,"₹ 9,98,000",,Government
Sri Guru Ram Das Institute of Medical Sciences & Research - [SGRDIMSR],"Amritsar, Punjab",MBBS,"₹ 10,42,000",,Private
University Institute of Engineering and Technology -[UIET],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 1,34,860","₹ 25,00,000",Government
Sant Longowal Institute of Engineering and Technology - [SLIET],"Sangrur, Punjab",BE/B.Tech,"₹ 88,000","₹ 18,00,000",Government
"University Business School, Panjab University - [UBS]","Chandigarh, Chandigarh",MBA/PGDM,"₹ 23,945","₹ 24,00,000",Government
P.U. Swami Sarvanand Giri Regional Centre - [PUSSGRC],"Hoshiarpur, Punjab",BE/B.Tech,"₹ 1,14,305",,Government
Gian Jyoti Institute of Management and Technology - [GJIMT],"Mohali, Punjab",MBA/PGDM,"₹ 1,03,950","₹ 12,00,000",Private
Chandigarh College of Engineering and Technology - [CCET],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 75,998","₹ 6,73,000",Government
National Institute of Technical Teachers Training and Research - [NITTTR],"Chandigarh, Chandigarh",ME/M.Tech,"₹ 75,500",,Government
Government Industrial Training Institute - [GITI],"Chandigarh, Chandigarh",Certificate in Engineering,,,Government
Chandigarh Business School of Administration - [CBSA] Landran,"Mohali, Punjab",MBA/PGDM,"₹ 1,00,200","₹ 50,00,000",Private
Indo Swiss Training Centre - [ISTC],"Chandigarh, Chandigarh",Graduate Diploma in Engineering,"₹ 20,000","₹ 9,00,000",Government
RIMT University,"Gobindgarh, Punjab",BE/B.Tech,"₹ 1,93,000","₹ 6,00,000",Private
DAV College For Women,"Firozpur, Punjab",BCA,"₹ 52,046",,Private
Guru Kashi University,"Bathinda, Punjab",BA,"₹ 4,000",,Private
IITT Institutions,"Chandigarh, Chandigarh",BE/B.Tech,"₹ 1,00,200",,Private
Sant Baba Bhag Singh University - [SBBSU],"Jalandhar, Punjab",B.Sc,"₹ 46,850","₹ 7,00,000",Private
Swami Vivekanand Institute of Engineering & Technology - [SVIET],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 1,05,000","₹ 60,00,000",Private
Chandigarh Group of Colleges - [CGC] Landran,"Mohali, Punjab",BE/B.Tech,"₹ 1,66,000","₹ 50,00,000",Private
"Centre for Distance and Online Education, Panjab University - [CDOE]","Chandigarh, Chandigarh",BA,"₹ 22,900",,Government
CGC University,"Chandigarh, Chandigarh",BE/B.Tech,"₹ 1,78,000","₹ 1,00,00,000",Private
DAV Institute of Engineering and Technology - [DAVIET],"Jalandhar, Punjab",BE/B.Tech,"₹ 1,00,200","₹ 70,00,000",Private
GNA University,"Phagwara, Punjab",BE/B.Tech,"₹ 2,00,000","₹ 30,50,000",Private
National Institute of Pharmaceutical Education and Research - [NIPER],"Mohali, Punjab",M.Pharm,"₹ 1,40,348",,Government
Global Group of Institutes,"Amritsar, Punjab",BE/B.Tech,"₹ 1,00,200","₹ 30,00,000",Private
Punjab Agricultural University - [PAU],"Ludhiana, Punjab",B.Sc,"₹ 94,960","₹ 9,00,000",Government
Baba Farid University of Health Sciences - [BFUHS],"Faridkot, Punjab",MBBS,"₹ 4,47,000",,Government
Dayanand Medical College and Hospital - [DMCH],"Ludhiana, Punjab",MBBS,"₹ 4,86,450",,Private
Gulzar Group of Institutes - [GGI],"Ludhiana, Punjab",BE/B.Tech,"₹ 1,21,200","₹ 17,00,000",Private
Sri Guru Ram Das University of Health Sciences - [sgrduhs],"Amritsar, Punjab",MBBS,"₹ 45,54,000",,Private
Guru Nanak Dev Engineering College - [GNDEC],"Ludhiana, Punjab",BE/B.Tech,"₹ 1,20,619","₹ 10,00,000",Private
Punjab Institute of Medical Sciences - [PIMS],"Jalandhar, Punjab",MBBS,"₹ 5,29,500",,Private
Narsee Monjee Institute of Management Studies - [NMIMS],"Chandigarh, Chandigarh",B.Com,"₹ 1,50,000","₹ 22,00,000",Private
DAV University,"Jalandhar, Punjab",B.Sc,"₹ 86,400","₹ 32,00,000",Private
Christian Dental College,"Ludhiana, Punjab",BDS,"₹ 2,20,000",,Private
Dr.Ambedkar Institute of Hotel Management Catering and Nutrition - [IHM],"Chandigarh, Chandigarh",BHM,"₹ 1,47,135",,Government
Sri Guru Granth Sahib World University - [SGGSWU],"Fatehgarh Sahib, Punjab",M.Phil/Ph.D in Arts,"₹ 68,000","₹ 13,00,000",Private
"University Institute of Legal Studies, Panjab University","Chandigarh, Chandigarh",BA/BBA LLB,"₹ 88,580",,Government
Rajiv Gandhi National University of Law - [RGNUL],"Patiala, Punjab",BA/BBA LLB,"₹ 2,42,500",,Government
SCD Government College,"Ludhiana, Punjab",BA,"₹ 7,600",,Government
Amritsar College of Engineering and Technology - [ACET],"Amritsar, Punjab",BE/B.Tech,"₹ 1,00,200","₹ 40,00,000",Private
Baba Banda Singh Bahadur Engineering College - [BBSBEC],"Fatehgarh Sahib, Punjab",BE/B.Tech,"₹ 1,02,000","₹ 7,00,000",Private
Plaksha University,"Mohali, Punjab",BE/B.Tech,"₹ 8,80,000","₹ 50,00,000",Private
Kamla Nehru College for Women - [KNC],"Kapurthala, Punjab",BFA,,,Private
Doaba Group of Colleges - [DGC],"Mohali, Punjab",BE/B.Tech,"₹ 3,18,000",,Private
Giani Zail Singh Campus College of Engineering and Technology - [GZSCCET],"Bathinda, Punjab",BE/B.Tech,"₹ 1,04,600","₹ 4,00,000",Government
Baba Farid College of Management and Technology - [BFCMT],"Bathinda, Punjab",MBA/PGDM,"₹ 1,80,000",,Private
Chandigarh Institute of Hotel Management and Catering Technology - [CIHMCT],"Chandigarh, Chandigarh",BHM,"₹ 3,00,000",,Government
Army Institute of Law - [AIL],"Mohali, Punjab",BA/BBA LLB,"₹ 1,92,805","₹ 16,10,000",Private
Government Home Science College,"Chandigarh, Chandigarh",M.Sc,"₹ 33,215",,Government
Chandigarh University - [CU],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 2,24,500","₹ 1,70,00,000",Private
ISF College of pharmacy,"Moga, Punjab",B.Pharm,"₹ 90,000","₹ 5,00,000",Private
Department of Laws Panjab University,"Chandigarh, Chandigarh",LLB,"₹ 15,115",,Government
Indo Global College of Engineering,"Mohali, Punjab",BE/B.Tech,"₹ 1,00,200",,Private
Chitkara School of Hospitality -[CSH],"Chandigarh, Chandigarh",BHM,"₹ 2,20,000",,Private
"University Institute of Tourism and Hospitality Management, Chandigarh University - [UITHM]","Chandigarh, Chandigarh",BHM (Hospital),"₹ 1,70,500","₹ 25,00,000",Private
Northern India Institute of Fashion Technology - [NIIFT],"Mohali, Punjab",M.Sc,"₹ 1,19,750",,Government
Mehr Chand Mahajan Dayanand Anglo Vedic College for Women - [MCM DAV],"Chandigarh, Chandigarh",BA,"₹ 31,715","₹ 5,00,000",Private
Hotel & Catering Management Institute - [HCMI],"Chandigarh, Chandigarh",BHM,"₹ 69,200",,Private
Quest Group of Institutions,"Mohali, Punjab",BE/B.Tech,"₹ 1,00,200",,Private
Sahibzada Ajit Singh Group of Institutions,"Mohali, Punjab",BBA/BMS,"₹ 71,200",,Private
Dr IT School of Business,"Patiala, Punjab",MBA/PGDM,"₹ 1,00,200",,Private
Doraha Institute of Management and Technology - [DIMT],"Ludhiana, Punjab",B.Com,"₹ 69,200",,Private
Chitkara University - [CU],"Patiala, Punjab",MBA/PGDM,"₹ 4,30,000","₹ 44,00,000",Private
Khalsa College,"Amritsar, Punjab",B.Sc,"₹ 59,960",,Private
BBK DAV College for Women,"Amritsar, Punjab",BA,"₹ 70,380",,Private
"Chitkara University, Chitkara School of Planning and Architecture - [CSPA]","Patiala, Punjab",B.Arch,"₹ 2,00,000",,Private
DAV College - [DAVC],"Chandigarh, Chandigarh",BA,"₹ 20,641",,Private
Chitkara College of Pharmacy - [CCP],"Patiala, Punjab",B.Pharm,"₹ 2,00,000",,Private
Goswami Ganesh Dutta Sanatan Dharma College - [GGDSD],"Chandigarh, Chandigarh",M.Sc,"₹ 3,700",,Private
Government College of Education,"Chandigarh, Chandigarh",B.Ed,"₹ 22,970",,Government
Baba Farid College of Engineering and Technology - [BFCET],"Bathinda, Punjab",BE/B.Tech,"₹ 87,410","₹ 12,00,000",Private
Sri Sai College of Education - [SSCE],"Pathankot, Punjab",D.El.Ed,"₹ 44,000",,Private
LPU Online,"Jalandhar, Punjab",Online MBA,"₹ 1,00,000","₹ 7,25,000",Private
"Chitkara University, Chitkara School of Mass Communication - [CSMC]","Patiala, Punjab",BMM,"₹ 1,40,000",,Private
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy,"Bela, Punjab",B.Pharm,"₹ 1,11,000",,Private
Chandigarh College of Hotel Management and Catering Technology - [CCHMCT] Landran,"Mohali, Punjab",BHM,"₹ 4,80,000","₹ 45,50,000",Private
Chitkara University Online,"Patiala, Punjab",MBA/PGDM,"₹ 2,00,000",,Private
GGS College of Modern Technology,"Mohali, Punjab",BE/B.Tech,"₹ 80,900","₹ 9,00,000",Private
I.K. Gujral Punjab Technical University - [IKG-PTU],"Jalandhar, Punjab",BE/B.Tech,"₹ 1,26,200","₹ 64,87,000",Government
Chandigarh University Online,"Mohali, Punjab", MBA,"₹ 79,000",,Private
CT Institute of Hospitality Management,"Jalandhar, Punjab",BHM,"₹ 2,40,000",,Private
Baba Farid Group of Institutions - [BFGI],"Bathinda, Punjab",B.Sc,"₹ 55,000","₹ 72,00,000",Private
Post Graduate Government College for Girls,"Chandigarh, Chandigarh",MA,"₹ 27,092",,Government
IIT Jammu - Indian Institute of Technology - [IITJ],"Jammu, Jammu and Kashmir",ME/M.Tech,"₹ 60,040","₹ 53,00,000",Government
IIM Jammu,"Jammu, Jammu and Kashmir",MBA/PGDM,"₹ 10,53,980","₹ 31,75,000",Government
National Institute of Technology - [NIT],"Srinagar, Jammu and Kashmir",BE/B.Tech,"₹ 1,64,500","₹ 36,50,000",Government
Government Medical College,"Srinagar, Jammu and Kashmir",MBBS,"₹ 34,215",,Government
All India Institute Of Medical Sciences - [AIIMS],"Jammu, Jammu and Kashmir",MBBS,"₹ 5,856",,Government
Shri Mata Vaishno Devi University - [SMVDU],"Katra, Jammu and Kashmir",BE/B.Tech,"₹ 1,63,990","₹ 19,50,000",Government
Islamic University of Science and Technology - [IUST],"Pulwama, Jammu and Kashmir",BE/B.Tech,"₹ 76,200",,Government
Model Institute of Engineering and Technology - [MIET],"Jammu, Jammu and Kashmir",BE/B.Tech,"₹ 1,13,350","₹ 18,00,000",Private
Central University Of Jammu,"Jammu, Jammu and Kashmir",B.Sc,"₹ 24,430","₹ 10,00,000",Government
Sher-i-Kashmir Institute of Medical Sciences - [SKIMS],"Srinagar, Jammu and Kashmir",MBBS,"₹ 94,500",,Government
Yogananda College of Engineering & Technology -[YCET],"Jammu, Jammu and Kashmir",BE/B.Tech,"₹ 58,703",,Private
University of Jammu,"Jammu, Jammu and Kashmir",MA,"₹ 21,380",,Government
The Business School University of Jammu - [TBS],"Jammu, Jammu and Kashmir",MBA/PGDM,"₹ 57,219",,Government
Government College for Women,"Srinagar, Jammu and Kashmir",B.Sc,"₹ 3,458",,Government
Government College of Engineering and Technology - [GCET],"Jammu, Jammu and Kashmir",BE/B.Tech,"₹ 42,920",,Government
Central Institute of Temperate Horticultural - [CITH],"Srinagar, Jammu and Kashmir",M.Phil/Ph.D in Arts,,,Government
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir - [SKUAST],"Srinagar, Jammu and Kashmir",M.F.Sc,"₹ 30,600",,Government
University of Kashmir - [KU],"Srinagar, Jammu and Kashmir",MA,"₹ 9,998",,Government
Government Degree College,"Srinagar, Jammu and Kashmir",BA,,,Government
SSM College of Engineering and Technology - [SSM],"Baramulla, Jammu and Kashmir",BE/B.Tech,"₹ 49,000",,Private
Cluster University of Jammu,"Jammu, Jammu and Kashmir",M.Sc,"₹ 47,230",,Government
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu - [SKUAST-J],"Jammu, Jammu and Kashmir",B.Sc (Agriculture),"₹ 26,900",,Government
Government College for Women - [GCW],"Jammu, Jammu and Kashmir",BA,"₹ 28,560",,Government
"Directorate of Distance Education, University of Jammu","Jammu, Jammu and Kashmir",MA,"₹ 10,690","₹ 5,60,000",Government
Baldev Institute of Management Technology and Sciences - [BIMTAS],"Jammu, Jammu and Kashmir",BCA,,,Private
Central University of Kashmir,"Srinagar, Jammu and Kashmir",MA,"₹ 12,440",,Government
MBS College of Engineering and Technology,"Jammu, Jammu and Kashmir",BE/B.Tech,"₹ 49,000",,Private
Amar Singh Government Degree College,"Srinagar, Jammu and Kashmir",BA,,,Government
Bhartiya College of Education,"Udhampur, Jammu and Kashmir",B.Ed,"₹ 40,000",,Private
Government Degree College,"Jammu, Jammu and Kashmir",BA,"₹ 7,290",,Government
Government Degree College for Boys,"Anantnag, Jammu and Kashmir",BA,,,Government
Government Degree College for Boys,"Udhampur, Jammu and Kashmir",B.Sc,"₹ 21,960",,Government
Government Degree College for Women,"Anantnag, Jammu and Kashmir",BA,"₹ 2,530",,Government
Government MAM College,"Jammu, Jammu and Kashmir",BCA,"₹ 14,068",,Government
Jamia Tul Banat Saifni,"Srinagar, Jammu and Kashmir",BA,"₹ 43,000",,Private
Swami Vishwatamanand Saraswati Degree College,"Rajauri, Jammu and Kashmir",BA,,,Private
Government Degree College,"Doda, Jammu and Kashmir",BA,,,Government
Jammu Institute of Ayurveda and Research College - [JIAR],"Jammu, Jammu and Kashmir",BAMS,"₹ 3,54,665",,Private
Government Dental College,"Srinagar, Jammu and Kashmir",BDS,,,Government
Institute of Dental Sciences - [IDS],"Jammu, Jammu and Kashmir",BDS,"₹ 3,45,000",,Private
Institute of Hotel Management Catering Technology and Applied Nutrition,"Srinagar, Jammu and Kashmir",BHM,"₹ 1,06,900",,Government
Ashoka Law College,"Kathua, Jammu and Kashmir",BA/BBA LLB,,,Private
Bhargava Law College,"Jammu, Jammu and Kashmir",BA/BBA LLB,,,Private
Dogra Law College,"Jammu, Jammu and Kashmir",BA/BBA LLB,"₹ 40,353",,Private
KC Law College,"Jammu, Jammu and Kashmir",BA/BBA LLB,,,Private
Kashmir Law College,"Srinagar, Jammu and Kashmir",BA/BBA LLB,"₹ 1,05,000",,Private
Bhargava Paramedical College,"Jammu, Jammu and Kashmir",GNM,,,Private
Acharya Shri Chander College of Medical Sciences,"Jammu, Jammu and Kashmir",MBBS,"₹ 39,000",,Private
Government Medical College - [GMC],"Jammu, Jammu and Kashmir",MBBS,"₹ 26,250",,Government
Acharya Shri Chander Institute of Nursing Education,"Jammu, Jammu and Kashmir",GNM,"₹ 51,000",,Private
IIT Kanpur - Indian Institute of Technology - [IITK],"Kanpur, Uttar Pradesh",BE/B.Tech,"₹ 2,53,120","₹ 24,00,000",Government
IIML - Indian Institute of Management,"Lucknow, Uttar Pradesh",MBA/PGDM,"₹ 11,15,000","₹ 75,00,000",Government
National Council For Hotel Management and Catering Technology,"Noida, Uttar Pradesh",BHM,"₹ 1,25,915",,Government
IIT BHU - Indian Institute of Technology,"Varanasi, Uttar Pradesh",BE/B.Tech,"₹ 2,18,815","₹ 1,68,00,000",Government
Aligarh Muslim University - [AMU],"Aligarh, Uttar Pradesh",BA,"₹ 13,680","₹ 14,00,000",Government
MNNIT Allahabad - Motilal Nehru National Institute of Technology,"Allahabad, Uttar Pradesh",BE/B.Tech,"₹ 1,68,000","₹ 72,00,000",Government
Amity School of Hospitality,"Noida, Uttar Pradesh",M.Phil/Ph.D in Hotel Management,"₹ 1,70,000","₹ 6,00,000",Private
Indian Institute of Information Technology - [IIIT],"Allahabad, Uttar Pradesh",ME/M.Tech,"₹ 2,12,610","₹ 1,21,00,000",Government
Institute of Medical Sciences - [IMS BHU],"Varanasi, Uttar Pradesh",MBBS,"₹ 1,49,000",,Government
Indian Institute of Information Technology - [IIITL],"Lucknow, Uttar Pradesh",BE/B.Tech,"₹ 2,69,700","₹ 1,45,00,000",Government
Lloyd Law College,"Greater Noida, Uttar Pradesh",BA/BBA LLB,"₹ 9,00,000",,Private
IMT - Institute of Management Technology,"Ghaziabad, Uttar Pradesh",PG Diploma in Management,"₹ 30,42,976","₹ 41,55,000",Private
King George's Medical University - [KGMU],"Lucknow, Uttar Pradesh",MBBS,"₹ 41,600",,Government
Amity School of Architecture and Planning,"Noida, Uttar Pradesh",B.Arch,"₹ 2,79,000","₹ 17,00,000",Private
All India Institute Of Medical Sciences - [AIIMS],"Gorakhpur, Uttar Pradesh",MBBS,"₹ 5,293",,Government
"Department of Management Sciences, IIT Kanpur- [DOMS IITKP]","Kanpur, Uttar Pradesh",Executive MBA,"₹ 13,50,000","₹ 24,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"Rae Bareli, Uttar Pradesh",MBBS,"₹ 1,628",,Government
Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM],"Meerut, Uttar Pradesh",BHM,"₹ 95,000","₹ 4,20,000",Government
Dr. Ram Manohar Lohia Institute of Medical Sciences - [RMLIMS],"Lucknow, Uttar Pradesh",MBBS,"₹ 49,700",,Government
Birla Institute of Management Technology - [BIMTECH],"Greater Noida, Uttar Pradesh",MBA/PGDM,"₹ 14,00,000","₹ 24,43,000",Private
Banaras Hindu University - [BHU],"Varanasi, Uttar Pradesh",BA,"₹ 2,300","₹ 1,20,00,000",Government
Sanjay Gandhi Postgraduate Institute of Medical Sciences - [SGPGIMS],"Lucknow, Uttar Pradesh",Bachelor of Physiotherapy(BPT),"₹ 43,250",,Government
Rajiv Gandhi Institute of Petroleum Technology - [RGIPT],"Amethi, Uttar Pradesh",BE/B.Tech,"₹ 2,56,000","₹ 24,00,000",Government
Jawahar Lal Nehru Medical College - [JNMC],"Aligarh, Uttar Pradesh",MBBS,"₹ 2,39,200",,Government
Amity Business School - [ABS],"Noida, Uttar Pradesh",MBA/PGDM,"₹ 6,90,000","₹ 26,30,000",Private
"Institute of Management Studies, Banaras Hindu University","Varanasi, Uttar Pradesh",MBA/PGDM,"₹ 70,000","₹ 23,50,000",Government
IMS,"Ghaziabad, Uttar Pradesh",MBA/PGDM,"₹ 5,00,000","₹ 35,00,000",Private
Zakir Hussain College of Engineering and Technology - [ZHCET],"Aligarh, Uttar Pradesh",BE/B.Tech,"₹ 18,990",,Government
Jaypee Institute of Information Technology University - [JIIT],"Noida, Uttar Pradesh",BE/B.Tech,"₹ 4,06,000","₹ 62,00,000",Private
Dayalbagh Educational Institute - [DEI],"Agra, Uttar Pradesh",BA,"₹ 5,150",,Government
Amity School of Engineering & Technology - [ASET],"Noida, Uttar Pradesh",BE/B.Tech,"₹ 2,06,500","₹ 35,90,000",Private
GSVM Medical College,"Kanpur, Uttar Pradesh",MBBS,"₹ 39,600",,Government
Government Institute of Medical Sciences - [GIMS],"Greater Noida, Uttar Pradesh",MBBS,"₹ 1,51,100",,Government
Sarojini Naidu Medical College - [SNMC],"Agra, Uttar Pradesh",MBBS,"₹ 36,000",,Government
LLRM Medical College,"Meerut, Uttar Pradesh",MBBS,"₹ 43,000",,Government
UEI Global,"Lucknow, Uttar Pradesh",BHM,"₹ 3,00,000","₹ 24,00,000",Private
"Sharda University, School of Medical Sciences and Research - [SMSR]","Greater Noida, Uttar Pradesh",MBBS,"₹ 12,69,319","₹ 1,00,00,000",Private
Jaipuria Institute of Management,"Lucknow, Uttar Pradesh",MBA/PGDM,"₹ 7,55,000","₹ 36,64,000",Private
Ajay Kumar Garg Engineering College - [AKGEC],"Ghaziabad, Uttar Pradesh",BE/B.Tech,"₹ 1,42,156","₹ 33,80,000",Private
Moti Lal Nehru Medical College - [MLNMC],"Allahabad, Uttar Pradesh",MBBS,"₹ 1,35,000",,Government
Madan Mohan Malaviya University of Technology - [MMMUT],"Gorakhpur, Uttar Pradesh",BE/B.Tech,"₹ 2,75,200","₹ 52,00,000",Government
Jaipuria Institute of Management,"Noida, Uttar Pradesh",MBA/PGDM,"₹ 1,40,000","₹ 36,60,000",Private
Teerthanker Mahaveer Medical College and Research Center,"Moradabad, Uttar Pradesh",MBBS,"₹ 20,00,000",,Private
Galgotias College of Engineering and Technology - [GCET],"Greater Noida, Uttar Pradesh",BE/B.Tech,"₹ 1,15,603","₹ 39,00,000",Private
Mahatma Jyotiba Phule Rohilkhand University - [MJPRU],"Bareilly, Uttar Pradesh",MA,"₹ 20,900",,Government
Maharani Laxmi Bai Medical College,"Jhansi, Uttar Pradesh",MBBS,"₹ 42,000",,Government
GL Bajaj Institute of Management and Research - [GLBIMR],"Greater Noida, Uttar Pradesh",MBA/PGDM,"₹ 7,85,000","₹ 23,00,000",Private
Baba Raghav Das Medical College - [BRD],"Gorakhpur, Uttar Pradesh",MBBS,"₹ 1,89,000",,Government
Galgotias University - [GU],"Greater Noida, Uttar Pradesh",BE/B.Tech,"₹ 1,77,000","₹ 39,00,000",Private
Gautam Buddha University - [GBU],"Greater Noida, Uttar Pradesh",BE/B.Tech,"₹ 54,100","₹ 22,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"New Delhi, Delhi NCR",MBBS,"₹ 1,628",,Government
Vardhman Mahavir Medical College - [VMMC],"New Delhi, Delhi NCR",MBBS,"₹ 57,000",,Government
IIT Delhi - Indian Institute of Technology [IITD],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 2,27,750","₹ 2,00,00,000",Government
