college_name,location,best_suit_for,fees,placement,type
IIT Jodhpur - Indian Institute of Technology - [IITJ],"Jodhpur, Rajasthan",BE/B.Tech,"₹ 2,54,800","₹ 53,00,000",Government
Indian Institute of Management - [IIMU],"Udaipur, Rajasthan",MBA/PGDM,"₹ 23,17,260","₹ 47,66,000",Government
SMS Medical College - [SMSMC],"Jaipur, Rajasthan",MBBS,"₹ 1,25,300",,Government
Manipal University - [MUJ],"Jaipur, Rajasthan",BE/B.Tech,"₹ 3,50,000","₹ 88,00,000",Private
Malaviya National Institute of Technology - [MNIT],"Jaipur, Rajasthan",BE/B.Tech,"₹ 3,45,187","₹ 64,00,000",Government
"Department of Management, BITS","Pilani, Rajasthan",MBA/PGDM,"₹ 6,38,175","₹ 27,00,000",Private
RUHS College of Medical Sciences,"Jaipur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Sardar Patel Medical College - [SPMC],"Bikaner, Rajasthan",MBBS,"₹ 1,25,300",,Government
Banasthali Vidyapith,"Jaipur, Rajasthan",B.Sc,"₹ 89,000","₹ 5,20,000",Private
Dr SN Medical College & Hospital,"Jodhpur, Rajasthan",MBBS,"₹ 1,25,300",,Government
The LNM Institute of Information Technology - [LNMIIT],"Jaipur, Rajasthan",BE/B.Tech,"₹ 5,31,400","₹ 1,24,00,000",Private
SS Jain Subodh PG College,"Jaipur, Rajasthan",B.Sc,"₹ 25,500",,Private
Indian Institute of Information Technology - [IIIT-K],"Kota, Rajasthan",BE/B.Tech,"₹ 2,46,425","₹ 65,00,000",Government
RNT Medical College,"Udaipur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Jawaharlal Nehru Medical College - [JLN],"Ajmer, Rajasthan",MBBS,"₹ 1,25,265",,Government
Vivekananda Global University - [VGU],"Jaipur, Rajasthan",BE/B.Tech,"₹ 1,85,000","₹ 46,00,000",Private
"Department of Management Studies, MNIT - [DMS MNIT]","Jaipur, Rajasthan",MBA/PGDM,"₹ 1,71,287","₹ 16,00,000",Government
Rajasthan University of Health Sciences - [RUHS],"Jaipur, Rajasthan",Bachelor of Physiotherapy(BPT),"₹ 85,000",,Government
Government Medical College,"Kota, Rajasthan",MBBS,"₹ 1,19,300",,Government
IIHMR University,"Jaipur, Rajasthan",MBA/PGDM,"₹ 12,50,000","₹ 35,60,000",Private
Biyani Group of Colleges,"Jaipur, Rajasthan",B.Sc,"₹ 75,000","₹ 18,00,000",Private
Mahatma Gandhi Medical College and Hospital,"Jaipur, Rajasthan",MBBS,"₹ 22,50,000",,Private
Jhalawar Hospital & Medical College,"Jhalawar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Jai Narain Vyas University - [JNVU],"Jodhpur, Rajasthan",BA,"₹ 2,570",,Government
Government Medical College,"Pali, Rajasthan",MBBS,"₹ 1,25,246",,Government
St Wilfred's PG College,"Jaipur, Rajasthan",B.Sc,"₹ 54,500",,Private
NIMS University,"Jaipur, Rajasthan",MBBS,"₹ 25,80,000","₹ 6,00,000",Private
Government Medical College - [GMC],"Bharatpur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Barmer, Rajasthan",MBBS,"₹ 5,09,362",,Government
Government Medical College - [GMC],"Dungarpur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Taxila Business School - [TBS],"Jaipur, Rajasthan",MBA/PGDM,"₹ 9,60,000","₹ 25,80,000",Private
Government Medical College,"Bhilwara, Rajasthan",MBBS,"₹ 70,340",,Government
Mody University,"Sikar, Rajasthan",BE/B.Tech,"₹ 2,29,000","₹ 32,88,000",Private
"Sangam University, School of Management Studies","Bhilwara, Rajasthan",MBA/PGDM,"₹ 1,38,500",,Private
Government Medical College,"Churu, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Sriganganagar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Alwar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Alwar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Chittorgarh, Rajasthan",MBBS,"₹ 1,25,246",,Government
UNIRAJ- University of Rajasthan,"Jaipur, Rajasthan",BA,"₹ 2,320",,Government
Government Medical College,"Dausa, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Sirohi, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Bundi, Rajasthan",MBBS,"₹ 1,25,246",,Government
VGU Faculty of Engineering & Technology - [FENT],"Jaipur, Rajasthan",BE/B.Tech,"₹ 2,10,000","₹ 54,00,000",Private
Government Medical College,"Dholpur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Karauli, Rajasthan",MBBS,"₹ 1,25,246",,Government
Ananta Institute of Hotel Management & Allied studies - [AIHMAS],"Jaipur, Rajasthan",BHM,"₹ 4,40,000",,Private
IIT Patna - Indian Institute of Technology - [IITP],"Patna, Bihar",BE/B.Tech,"₹ 2,73,250","₹ 1,62,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"Patna, Bihar",MBBS,"₹ 5,856",,Government
National Institute of Technology - [NITP],"Patna, Bihar",BE/B.Tech,"₹ 1,88,500","₹ 41,37,000",Government
Indian Institute of Management - [IIMBG],"Gaya, Bihar",MBA/PGDM,"₹ 8,00,000","₹ 22,00,000",Government
Indian Institute of Information Technology - [IIIT],"Bhagalpur, Bihar",BE/B.Tech,"₹ 2,94,738","₹ 83,00,000",Government
Patna Medical College & Hospital - [PMCH],"Patna, Bihar",MBBS,"₹ 9,500",,Government
Ambedkar Institute of Higher Education - [AIHE],"Patna, Bihar",B.Sc (Nursing),"₹ 7,00,575",,Private
Vardhman Institute of Medical Sciences - [VIMS],"Nalanda, Bihar",MBBS,"₹ 29,800",,Government
Institute of Hotel Management - [IHM],"Hajipur, Bihar",BHM,"₹ 1,30,725",,Government
Institute of Hotel Management - [IHM],"Gaya, Bihar",BHM,"₹ 1,22,500",,Government
Indira Gandhi Institute of Medical Sciences - [IGIMS],"Patna, Bihar",MBBS,"₹ 70,000",,Government
Birla Institute of Technology - [BIT],"Patna, Bihar",BE/B.Tech,"₹ 4,34,000","₹ 34,40,000",Private
Nalanda Medical College - [NMCH],"Patna, Bihar",MBBS,"₹ 27,600",,Government
Muzaffarpur Institute of Technology - [MIT],"Muzaffarpur, Bihar",BE/B.Tech,"₹ 5,530","₹ 9,00,000",Government
Darbhanga Medical College,"Darbhanga, Bihar",MBBS,"₹ 1,02,150",,Government
Bhagalpur College of Engineering - [BCE],"Bhagalpur, Bihar",BE/B.Tech,"₹ 1,12,500","₹ 13,00,000",Government
Bakhtiyarpur College of Engineering - [BCE],"Patna, Bihar",BE/B.Tech,,,Government
Jawaharlal Nehru Medical College - [JLNMC],"Bhagalpur, Bihar",MBBS,"₹ 40,800",,Government
Shri Krishna Medical College - [SKMC],"Muzaffarpur, Bihar",MBBS,"₹ 49,800",,Government
Chandragupt Institute of Management - [CIMP],"Patna, Bihar",MBA/PGDM,"₹ 3,85,000","₹ 16,42,000",Private
ESIC Medical College,"Bihta, Bihar",MBBS,"₹ 1,11,200",,Government
Anugrah Narayan Magadh Medical College and Hospital - [ANMMCH],"Gaya, Bihar",MBBS,"₹ 27,000",,Government
Government Medical College - [GMC],"Bettiah, Bihar",MBBS,"₹ 58,500",,Government
Amity University,"Patna, Bihar",B.Sc,"₹ 1,16,000","₹ 50,00,000",Private
"Government Medical College and Hospital , Purnea","Purnea, Bihar",MBBS,,,Government
Gaya College of Engineering,"Gaya, Bihar",BE/B.Tech,"₹ 70,630","₹ 7,50,000",Government
Darbhanga College of Engineering - [DCE],"Darbhanga, Bihar",BE/B.Tech,"₹ 29,130","₹ 17,39,000",Government
Aryabhatta Knowledge University - [AKU],"Patna, Bihar",Bachelor of Physiotherapy(BPT),"₹ 1,00,000",,Government
Gopal Narayan Singh University - [GNSU],"Sasaram, Bihar",Bachelor of Physiotherapy(BPT),"₹ 1,19,500",,Private
Mata Gujri University,"Kishanganj, Bihar",B.Pharm,"₹ 1,21,000",,Private
Katihar Medical College - [KMC],"Katihar, Bihar",MBBS,"₹ 14,05,000",,Private
Narayan Medical College & Hospital - [NMCH],"Rohtas, Bihar",MBBS,"₹ 14,75,000",,Private
Mata Gujri Memorial Medical College & Lions Seva Kendra Hospital,"Kishanganj, Bihar",MBBS,"₹ 11,13,000",,Private
RDJM Medical College & Hospital,"Muzaffarpur, Bihar",MBBS,"₹ 13,90,000",,Private
Madhubani Medical College -[MMC],"Madhubani, Bihar",MBBS,"₹ 54,00,000",,Private
Netaji Subhas Medical College & Hospital - [NSMCH],"Patna, Bihar",MBBS,"₹ 19,46,200",,Private
Shree Narayan Medical Institute & Hospital,"Saharsa, Bihar",MBBS,"₹ 16,00,000",,Private
National Institute of Fashion Technology - [NIFT] Patna,"Patna, Bihar",B.Des,"₹ 3,47,900",,Government
Jai Prakash University,"Chapra, Bihar",MA,"₹ 3,846",,Government
Patna Law College,"Patna, Bihar",LLB,"₹ 2,220",,Government
Marwari College,"Bhagalpur, Bihar",BA,"₹ 1,196","₹ 7,00,000",Private
Langat Singh College - [LS],"Muzaffarpur, Bihar",BA,₹ 855,"₹ 5,00,000",Private
Katihar Engineering College - [KEC],"Katihar, Bihar",BE/B.Tech,,,Government
Nalanda College of Engineering - [NCE],"Chandi, Bihar",BE/B.Tech,"₹ 13,920","₹ 8,60,000",Government
Purnea College of Engineering - [PCE],"Purnea, Bihar",BE/B.Tech,,,Government
Motihari College of Engineering - [MCE],"Motihari, Bihar",BE/B.Tech,"₹ 1,05,000",,Government
H.D. Jain College,"Arrah, Bihar",BA,"₹ 1,800",,Private
Sityog Institute of Technology,"Aurangabad, Bihar",Polytechnic,"₹ 1,20,000","₹ 5,70,000",Private
Government College of Engineering - [GEC],"Bhojpur, Bihar",BE/B.Tech,,,Government
Sitamarhi Institute of Technology - [SIT],"Sitamarhi, Bihar",BE/B.Tech,,,Government
IIMA - Indian Institute of Management,"Ahmedabad, Gujarat",MBA/PGDM,"₹ 27,50,000","₹ 76,50,000",Government
B. J. Medical College - [BJMC],"Ahmedabad, Gujarat",MBBS,"₹ 25,000",,Government
IIT Gandhinagar - Indian Institute of Technology - [IITG],"Gandhinagar, Gujarat",BE/B.Tech,"₹ 2,29,426",,Government
Gujarat National Law University - [GNLU],"Silvassa, Gujarat",BA/BBA LLB,"₹ 2,16,000",,Government
Nirma University,"Ahmedabad, Gujarat",BE/B.Tech,"₹ 2,45,800","₹ 88,20,000",Private
MICA Ahmedabad,"Ahmedabad, Gujarat",Graduate Certificate in Management,"₹ 11,00,000","₹ 40,91,500",Private
Sardar Vallabhbhai National Institute of Technology - [SVNIT],"Surat, Gujarat",BE/B.Tech,"₹ 1,85,000","₹ 62,00,000",Government
"Institute of Law, Nirma University - [ILNU]","Ahmedabad, Gujarat",BA/BBA LLB,"₹ 4,00,700","₹ 19,50,000",Private
All India Institute of Medical Sciences - [AIIMS],"Rajkot, Gujarat",MBBS,"₹ 25,856",,Government
Medical College Baroda,"Vadodara, Gujarat",MBBS,"₹ 29,325",,Government
Institute of Rural Management - [IRMA],"Anand, Gujarat",MBA/PGDM,"₹ 10,74,508","₹ 31,16,000",Private
Ganpat University - [GUNI],"Mehsana, Gujarat",BE/B.Tech,"₹ 1,40,000","₹ 12,00,000",Private
Government Medical College,"Surat, Gujarat",MBBS,"₹ 25,000",,Government
Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],"Gandhinagar, Gujarat",BE/B.Tech,"₹ 3,87,000","₹ 53,00,000",Private
Parul University,"Vadodara, Gujarat",B.Sc,"₹ 1,02,300","₹ 45,98,000",Private
Indian Institute of Information Technology - [IIIT],"Surat, Gujarat",BE/B.Tech,"₹ 2,12,500","₹ 74,00,000",Government
Indian Institute of Information Technology Vadodara - [IIIT-V],"Gandhinagar, Gujarat",BE/B.Tech,"₹ 2,90,220","₹ 56,30,000",Government
"Institute of Management, Nirma University","Ahmedabad, Gujarat",MBA/PGDM,"₹ 6,66,000","₹ 70,00,000",Private
P.P. Savani University,"Surat, Gujarat",BE/B.Tech,"₹ 97,650","₹ 78,00,000",Private
Pandit Deendayal Upadhyay Medical College - [PDUMC],"Rajkot, Gujarat",MBBS,"₹ 25,000",,Government
Hargovandas Lakhmichand College of Commerce (H L College of Commerce),"Ahmedabad, Gujarat",B.Com,"₹ 40,000","₹ 30,000",Government
"Institute of Architecture & Planning, Nirma University","Ahmedabad, Gujarat",B.Arch,"₹ 1,52,200",,Private
Institute of Hotel Management - [IHM],"Ahmedabad, Gujarat",BHM,"₹ 4,00,000",,Government
"Institute of Technology, Nirma University","Ahmedabad, Gujarat",BE/B.Tech,"₹ 2,72,200","₹ 52,69,000",Private
Veer Narmad South Gujarat University - [VNSGU],"Surat, Gujarat",B.Sc,"₹ 34,435",,Government
Sardar Patel University - [SPU],"Vallabh Vidyanagar, Gujarat",M.Sc,"₹ 89,907","₹ 6,00,000",Government
Hemchandracharya North Gujarat University - [HNGU],"Patan, Gujarat",MA,"₹ 26,130",,Government
Saurashtra University,"Rajkot, Gujarat",B.Sc,,,Government
Indus University,"Ahmedabad, Gujarat",BE/B.Tech,"₹ 1,10,600","₹ 30,00,000",Private
Government Medical College,"Bhavnagar, Gujarat",MBBS,"₹ 41,150",,Government
Narayana Business School - [NBS],"Ahmedabad, Gujarat",MBA/PGDM,"₹ 9,85,000","₹ 20,00,000",Private
Namo Medical Education & Research Institute,"Silvassa, Gujarat",MBBS,"₹ 58,100",,Government
Dharmsinh Desai University - [DDU],"Nadiad, Gujarat",BE/B.Tech,"₹ 1,85,000","₹ 25,00,000",Private
Sarvajanik University,"Surat, Gujarat",B.Sc,"₹ 49,750","₹ 23,00,000",Private
Charutar Vidya Mandal University - [CVM University] Anand,"Vallabh Vidyanagar, Gujarat",B.Sc,"₹ 1,86,000","₹ 15,40,000",Private
LJ University - [ LJU],"Ahmedabad, Gujarat",BE/B.Tech,"₹ 1,03,000","₹ 15,00,000",Private
"Faculty of Management Studies, The Maharaja Sayajirao University of Baroda","Vadodara, Gujarat",MBA/PGDM,"₹ 45,100",,Government
Maharaja Sayajirao University of Baroda - [MSU],"Vadodara, Gujarat",MSW,"₹ 10,900",,Government
L.D. College of Engineering - [LDCE],"Ahmedabad, Gujarat",BE/B.Tech,"₹ 1,280","₹ 10,00,000",Government
"Pandit Deendayal Energy University, School of Technology - [PDEU SOT]","Gandhinagar, Gujarat",BE/B.Tech,"₹ 2,53,000","₹ 42,00,000",Private
Institute of Infrastructure Technology Research and Management - [IITRAM],"Ahmedabad, Gujarat",BE/B.Tech,"₹ 1,28,000",,Government
Vishwakarma Government Engineering College - [VGEC],"Ahmedabad, Gujarat",BE/B.Tech,"₹ 1,500","₹ 23,00,000",Government
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda","Vadodara, Gujarat",BE/B.Tech,"₹ 1,05,000","₹ 11,00,000",Government
B K School of Business Management,"Ahmedabad, Gujarat",MBA/PGDM,"₹ 20,000",,Government
Indubhai Parekh School of Architecture - [IPSA],"Rajkot, Gujarat",B.Arch,"₹ 1,29,000",,Private
SAL Education Campus,"Ahmedabad, Gujarat",BE/B.Tech,"₹ 64,000",,Private
Sumandeep Vidyapeeth,"Vadodara, Gujarat",MBBS,"₹ 23,00,000","₹ 10,00,000",Private
Shri Govind Guru University - [SGGU],"Godhra, Gujarat",BA,"₹ 1,465",,Government
R.H. Patel Institute of Management,"Kheda, Gujarat",MBA/PGDM,"₹ 56,000",,Private
GIDC Rajju Shroff Rofel Institute of Management Studies,"Vapi, Gujarat",MBA/PGDM,"₹ 92,200",,Private
All India Institute of Medical Sciences - [AIIMS],"Bhopal, Madhya Pradesh",MBBS,"₹ 4,788",,Government
IIMI - Indian Institute of Management,"Indore, Madhya Pradesh",BBA/BMS,"₹ 5,50,679","₹ 70,00,000",Government
IIT Indore - Indian Institute of Technology - [IITI],"Indore, Madhya Pradesh",ME/M.Tech,"₹ 1,14,600","₹ 68,00,000",Government
Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABVIIITM],"Gwalior, Madhya Pradesh",BE/B.Tech,"₹ 2,16,250","₹ 65,00,000",Government
Maulana Azad National Institute of Technology - [MANIT],"Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 1,55,400","₹ 82,00,000",Government
IPS Academy,"Indore, Madhya Pradesh",BE/B.Tech,"₹ 1,26,700","₹ 4,00,00,000",Private
Indian Institute of Information Technology Design and Manufacturing - [IIITDM],"Jabalpur, Madhya Pradesh",BE/B.Tech,"₹ 1,74,000","₹ 1,10,00,000",Government
Indian Institute of Information Technology -[IIIT],"Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 2,68,254","₹ 85,00,000",Government
Institute of Hotel Management - [IHM],"Gwalior, Madhya Pradesh",BHM,"₹ 1,25,915",,Government
Dharmashastra National Law University - [MPDNLU],"Jabalpur, Madhya Pradesh",BA/BBA LLB,"₹ 2,61,653",,Government
Mahatma Gandhi Memorial Medical College - [MGMMC],"Indore, Madhya Pradesh",MBBS,"₹ 1,18,000",,Government
Institute of Hotel Management - [IHM],"Bhopal, Madhya Pradesh",BHM,"₹ 1,58,075",,Government
Indian Institute of Forest Management - [IIFM],"Bhopal, Madhya Pradesh",MBA/PGDM,"₹ 7,38,000","₹ 20,50,000",Government
Sophia Homeopathic Medical College and Research Center,"Gwalior, Madhya Pradesh",BHMS,"₹ 3,15,000",,Private
Gandhi Medical College,"Bhopal, Madhya Pradesh",MBBS,"₹ 1,16,255",,Government
St Aloysius College,"Jabalpur, Madhya Pradesh",B.Sc,"₹ 24,545",,Private
Dr. Hari singh Gour University,"Sagar, Madhya Pradesh",BA,"₹ 8,160","₹ 4,25,000",Government
Shri Govindram Seksaria Institute of Technology and Science- [SGSITS],"Indore, Madhya Pradesh",BE/B.Tech,"₹ 1,06,050","₹ 72,50,000",Private
Sri Aurobindo Institute of Medical Sciences - [SAIMS],"Indore, Madhya Pradesh",MBBS,"₹ 16,25,700",,Private
Prestige Institute of Management and Research - [PIMR],"Indore, Madhya Pradesh",MBA/PGDM,"₹ 1,59,000","₹ 32,00,000",Private
Gajra Raja Medical College - [GRMC],"Gwalior, Madhya Pradesh",MBBS,"₹ 1,21,000",,Government
"Institute of Engineering and Technology, Devi Ahilya University - [IET -DAVV]","Indore, Madhya Pradesh",BE/B.Tech,"₹ 1,05,950","₹ 57,00,000",Private
Jabalpur Engineering College - [JEC],"Jabalpur, Madhya Pradesh",BE/B.Tech,"₹ 14,369",,Government
Netaji Subhash Chandra Bose Medical College - [NSCBMC],"Jabalpur, Madhya Pradesh",Bachelor of Physiotherapy(BPT),"₹ 72,600",,Government
Jaipuria Institute of Management,"Indore, Madhya Pradesh",MBA/PGDM,"₹ 12,75,000","₹ 36,64,000",Private
Aisect College of Professional Studies,"Indore, Madhya Pradesh",B.Com,"₹ 15,000",,Private
VIT Bhopal University,"Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 2,01,000","₹ 59,00,000",Private
LNCT University - [LNCTU],"Bhopal, Madhya Pradesh",Bachelor of Physiotherapy(BPT),"₹ 60,000","₹ 1,12,00,000",Private
Madhav Institute of Technology and Science - [MITS],"Gwalior, Madhya Pradesh",BE/B.Tech,"₹ 1,86,000","₹ 25,56,000",Private
"ITM University, School of Management","Gwalior, Madhya Pradesh",BBA/BMS,"₹ 2,05,000","₹ 45,00,000",Private
Bundelkhand Medical College,"Sagar, Madhya Pradesh",MBBS,"₹ 1,14,000",,Government
"University Institute of Technology, Rajiv Gandhi Proudyogiki Vishwavidyalaya - [UIT- RGPV]","Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 24,920","₹ 54,00,000",Government
Jagran Lakecity University - [JLU],"Bhopal, Madhya Pradesh",BBA/BMS,"₹ 1,80,000","₹ 12,00,000",Private
"Dr. LAXMINARAYAN PANDEY GOVT. MEDICAL COLLEGE, RATLAM","Ratlam, Madhya Pradesh",MBBS,"₹ 1,15,350",,Government
Shrimant Rajmata Vijayaraje Scindia Medical College Shivpuri,"Shivpuri, Madhya Pradesh",MBBS,"₹ 1,30,000",,Government
Career College,"Bhopal, Madhya Pradesh",B.Sc,"₹ 20,500",,Private
Awadhesh Pratap Singh University - [APSU],"Rewa, Madhya Pradesh",MA,"₹ 8,234",,Private
Government Medical College,"Datia, Madhya Pradesh",MBBS,"₹ 1,14,000",,Government
NANDKUMAR SINGH CHOUHAN GOVERNMENT MEDICAL COLLEGE,"Khandwa, Madhya Pradesh",MBBS,"₹ 1,26,950",,Government
Rajiv Gandhi Proudyogiki Vishwavidyalaya - [RGPV],"Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 44,500","₹ 18,00,000",Government
NANDKUMAR SINGH CHOUHAN GOVERNMENT MEDICAL COLLEGE,"Khandwa, Madhya Pradesh",MBBS,"₹ 1,26,950",,Government
Rajiv Gandhi Proudyogiki Vishwavidyalaya - [RGPV],"Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 44,500","₹ 18,00,000",Government
Rewa Engineering College - [REC],"Rewa, Madhya Pradesh",BE/B.Tech,"₹ 49,800",,Government
Dr. A. P. J. Abdul Kalam University,"Indore, Madhya Pradesh",M.Phil/Ph.D in Arts,"₹ 2,83,400",,Private
Birsa Munda Government Medical College,"Shahdol, Madhya Pradesh",Bachelor of Physiotherapy(BPT),"₹ 85,020",,Government
Jiwaji University - [JU],"Gwalior, Madhya Pradesh",B.Sc,"₹ 23,320","₹ 5,00,000",Government
Lakshmi Narain College of Technology - [LNCT],"Bhopal, Madhya Pradesh",BE/B.Tech,"₹ 48,600","₹ 12,00,000",Private
Prestige Institute of Management & Research - [PIMRG],"Gwalior, Madhya Pradesh",BA/BBA LLB,"₹ 27,000","₹ 15,00,000",Private
Acropolis Faculty of Management and Research - [AFMR],"Indore, Madhya Pradesh",MBA/PGDM,"₹ 55,000","₹ 10,50,000",Private
Shri Vaishnav Institute of Management and Science - [SVIMS],"Indore, Madhya Pradesh",BBA/BMS,"₹ 61,500","₹ 9,00,000",Private
National Law School of India University - [NLSIU],"Bangalore, Karnataka",LLB,454500,"18,00,000",Private
Indian Institute of Management - IIM Bangalore,"Bangalore, Karnataka",MBA/PGDM,2630000,"1,15,00,000",Private
Institute of Hotel Management - [IHM],"Bangalore, Karnataka",BHM,167365,"8,00,000",Government
National Institute of Mental Health and Neuro Sciences - [NIMHANS],"Bangalore, Karnataka",M.Ch,91150,,Government
Indian Institute of Science - [IISc],"Bangalore, Karnataka",BE/B.Tech,220800,"85,00,000",Government
St. Joseph's College of Commerce - [SJCC],"Bangalore, Karnataka",B.Com,136000,"30,00,000",Private
International Institute of Information Technology - [IIIT-B],"Bangalore, Karnataka",BE/B.Tech,460000,"65,00,000",Private
"Faculty of Hospitality Management and Catering Technology - [FHMCT], M. S. Ramaiah University of Applied Sciences","Bangalore, Karnataka",BHM,179000,,Private
St Joseph's University,"Bangalore, Karnataka",B.Sc,20000,,Private
Christ University Bangalore,"Bangalore, Karnataka",B.Sc,154000,"15,75,000",Private
Bangalore Medical College and Research Institute - [BMCRI],"Bangalore, Karnataka",MBBS,75300,,Government
"Indian Institute of Science, Department of Management Studies - [DMSIISC]","Bangalore, Karnataka",MMS,266500,"37,50,000",Government
RV College of Architecture - [RVCA],"Bangalore, Karnataka",B.Arch,113060,,Private
BMS School of Architecture - [BMSSA],"Bangalore, Karnataka",B.Arch,301100,,Private
"School of Law, Christ University - [SLCU]","Bangalore, Karnataka",BA/BBA LLB,322000,,Private
Mount Carmel College - [MCC],"Bangalore, Karnataka",B.Sc,119400,"21,50,000",Private
KLE Society's Institute of Hotel Management and Catering Technology,"Bangalore, Karnataka",BHM,110000,,Private
KLE Society's Law College,"Bangalore, Karnataka",LLB,120000,,Private
